,front_right,front_left,rear_right,rear_left,time,d_locrot_theta,d_local_xy,x,y,global_theta,d_trans,d_rot1,d_rot2
66,0.0,0.0,0.0,0.0,1298445276.188135,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,1298445276.211672,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,1298445276.238483,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,1298445276.261958,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,1298445276.288281,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,1298445276.310695,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,1298445276.337224,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,1298445276.361557,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,1298445276.387427,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,1298445276.411662,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,1298445276.437003,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,1298445276.464286,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,1298445276.497492,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,1298445276.518203,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,1298445276.560074,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,1298445276.594382,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,1298445276.598778,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,1298445276.611968,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,1298445276.639846,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,1298445276.661235,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,1298445276.687083,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,1298445276.713876,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,1298445276.740784,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,1298445276.760194,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0,1298445276.785857,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,1298445276.81009,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0,1298445276.840273,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,1298445276.86135,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,1298445276.885735,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,1298445276.91057,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,1298445276.939868,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,1298445276.96049,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,1298445276.986268,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,1298445277.010596,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,1298445277.040541,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,1298445277.060515,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,1298445277.085883,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,1298445277.109455,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,1298445277.138698,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,1298445277.159576,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,1298445277.185157,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0,1298445277.209589,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,1298445277.235516,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,1298445277.25873,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,1298445277.285257,0.0,"(0.0, 0.0)",0.0,0.0,0.0,0.0,0.0,0.0
